Border,Date,Measure,Value,Average 
US-Mexico Border,03/01/2016 12:00:00 AM,Pedestrians,7337698,7400568
US-Canada Border,03/01/2016 12:00:00 AM,Personal Vehicle Passengers,7095338,11435427
US-Canada Border,03/01/2016 12:00:00 AM,Personal Vehicles,3968066,5399826
US-Canada Border,03/01/2016 12:00:00 AM,Trucks,1030852,1027276
US-Mexico Border,03/01/2016 12:00:00 AM,Trucks,997422,764449
US-Canada Border,03/01/2016 12:00:00 AM,Truck Containers Full,841244,765658
US-Mexico Border,03/01/2016 12:00:00 AM,Truck Containers Full,699096,471541
US-Mexico Border,03/01/2016 12:00:00 AM,Bus Passengers,445230,512707
US-Canada Border,03/01/2016 12:00:00 AM,Rail Containers Full,273170,207988
US-Mexico Border,03/01/2016 12:00:00 AM,Truck Containers Empty,259624,278986
US-Canada Border,03/01/2016 12:00:00 AM,Bus Passengers,218268,567585
US-Canada Border,03/01/2016 12:00:00 AM,Truck Containers Empty,206462,164294
US-Canada Border,03/01/2016 12:00:00 AM,Rail Containers Empty,108748,83652
US-Mexico Border,03/01/2016 12:00:00 AM,Rail Containers Full,84034,51949
US-Mexico Border,03/01/2016 12:00:00 AM,Rail Containers Empty,83412,58687
US-Canada Border,03/01/2016 12:00:00 AM,Pedestrians,39132,95534
US-Mexico Border,03/01/2016 12:00:00 AM,Buses,32684,40728
US-Canada Border,03/01/2016 12:00:00 AM,Train Passengers,30248,41634
US-Canada Border,03/01/2016 12:00:00 AM,Buses,11254,23484
US-Canada Border,03/01/2016 12:00:00 AM,Trains,5014,5142
US-Mexico Border,03/01/2016 12:00:00 AM,Train Passengers,2104,2076
US-Mexico Border,03/01/2016 12:00:00 AM,Trains,1724,1394
US-Mexico Border,02/01/2016 12:00:00 AM,Personal Vehicle Passengers,21429914,28773665
US-Mexico Border,02/01/2016 12:00:00 AM,Personal Vehicles,11852168,13128329
US-Mexico Border,02/01/2016 12:00:00 AM,Pedestrians,6722474,7403382
US-Canada Border,02/01/2016 12:00:00 AM,Personal Vehicle Passengers,5629298,11459519
US-Canada Border,02/01/2016 12:00:00 AM,Personal Vehicles,3328946,5408419
US-Canada Border,02/01/2016 12:00:00 AM,Trucks,953506,1027582
US-Mexico Border,02/01/2016 12:00:00 AM,Trucks,936832,763734
US-Canada Border,02/01/2016 12:00:00 AM,Truck Containers Full,802428,765506
US-Mexico Border,02/01/2016 12:00:00 AM,Truck Containers Full,661802,470751
US-Mexico Border,02/01/2016 12:00:00 AM,Bus Passengers,298622,513596
US-Mexico Border,02/01/2016 12:00:00 AM,Truck Containers Empty,267130,279035
US-Canada Border,02/01/2016 12:00:00 AM,Rail Containers Full,262684,207761
US-Canada Border,02/01/2016 12:00:00 AM,Truck Containers Empty,200114,164146
US-Canada Border,02/01/2016 12:00:00 AM,Bus Passengers,194794,569132
US-Canada Border,02/01/2016 12:00:00 AM,Rail Containers Empty,100406,83583
US-Mexico Border,02/01/2016 12:00:00 AM,Rail Containers Full,82810,51821
US-Mexico Border,02/01/2016 12:00:00 AM,Rail Containers Empty,74348,58622
US-Mexico Border,02/01/2016 12:00:00 AM,Buses,27272,40784
US-Canada Border,02/01/2016 12:00:00 AM,Pedestrians,24168,95830
US-Canada Border,02/01/2016 12:00:00 AM,Train Passengers,23674,41709
US-Canada Border,02/01/2016 12:00:00 AM,Buses,10312,23539
US-Canada Border,02/01/2016 12:00:00 AM,Trains,4640,5144
US-Mexico Border,02/01/2016 12:00:00 AM,Train Passengers,1832,2077
US-Mexico Border,02/01/2016 12:00:00 AM,Trains,1662,1393
US-Mexico Border,01/01/2016 12:00:00 AM,Personal Vehicle Passengers,23472346,28795754
US-Mexico Border,01/01/2016 12:00:00 AM,Personal Vehicles,12463352,13131100
US-Mexico Border,01/01/2016 12:00:00 AM,Pedestrians,6676856,7406409
US-Canada Border,01/01/2016 12:00:00 AM,Personal Vehicle Passengers,6205926,11481409
US-Canada Border,01/01/2016 12:00:00 AM,Personal Vehicles,3655600,5415722
US-Canada Border,01/01/2016 12:00:00 AM,Trucks,940528,1027945
US-Mexico Border,01/01/2016 12:00:00 AM,Trucks,887410,763219
US-Canada Border,01/01/2016 12:00:00 AM,Truck Containers Full,802324,765352
US-Mexico Border,01/01/2016 12:00:00 AM,Truck Containers Full,628768,470093
US-Mexico Border,01/01/2016 12:00:00 AM,Bus Passengers,446816,513874
US-Canada Border,01/01/2016 12:00:00 AM,Rail Containers Full,271722,207494
US-Mexico Border,01/01/2016 12:00:00 AM,Truck Containers Empty,252260,279146
US-Canada Border,01/01/2016 12:00:00 AM,Truck Containers Empty,201538,163990
US-Canada Border,01/01/2016 12:00:00 AM,Bus Passengers,183516,570738
US-Canada Border,01/01/2016 12:00:00 AM,Rail Containers Empty,101096,83510
US-Mexico Border,01/01/2016 12:00:00 AM,Rail Containers Full,77634,51714
US-Mexico Border,01/01/2016 12:00:00 AM,Rail Containers Empty,77566,58544
US-Mexico Border,01/01/2016 12:00:00 AM,Buses,32564,40818
US-Canada Border,01/01/2016 12:00:00 AM,Pedestrians,28806,96109
US-Canada Border,01/01/2016 12:00:00 AM,Train Passengers,25070,41778
US-Canada Border,01/01/2016 12:00:00 AM,Buses,10326,23594
US-Canada Border,01/01/2016 12:00:00 AM,Trains,4878,5145
US-Mexico Border,01/01/2016 12:00:00 AM,Train Passengers,1836,2078
US-Mexico Border,01/01/2016 12:00:00 AM,Trains,1672,1392
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,25326302,28810271
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicles,13108070,13131196
US-Mexico Border,12/01/2015 12:00:00 AM,Pedestrians,7613006,7405544
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,7507554,11498036
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicles,4103118,5421214
US-Canada Border,12/01/2015 12:00:00 AM,Trucks,886144,1028538
US-Mexico Border,12/01/2015 12:00:00 AM,Trucks,879666,762731
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Full,643198,765863
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Full,605044,469528
US-Mexico Border,12/01/2015 12:00:00 AM,Bus Passengers,445618,514159
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Empty,267642,279194
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Full,258150,207282
US-Canada Border,12/01/2015 12:00:00 AM,Bus Passengers,219760,572207
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Empty,163724,163991
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Empty,99566,83443
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Full,78622,51601
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Empty,78306,58461
US-Mexico Border,12/01/2015 12:00:00 AM,Buses,38022,40830
US-Canada Border,12/01/2015 12:00:00 AM,Pedestrians,37328,96355
US-Canada Border,12/01/2015 12:00:00 AM,Train Passengers,28266,41835
US-Canada Border,12/01/2015 12:00:00 AM,Buses,10594,23648
US-Canada Border,12/01/2015 12:00:00 AM,Trains,4852,5146
US-Mexico Border,12/01/2015 12:00:00 AM,Train Passengers,1958,2079
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,1688,1391
US-Mexico Border,11/01/2015 12:00:00 AM,Personal Vehicle Passengers,23260218,28833590
US-Mexico Border,11/01/2015 12:00:00 AM,Personal Vehicles,12511638,13133799
US-Mexico Border,11/01/2015 12:00:00 AM,Pedestrians,7103918,7406812
US-Canada Border,11/01/2015 12:00:00 AM,Personal Vehicle Passengers,7099844,11516516
US-Canada Border,11/01/2015 12:00:00 AM,Personal Vehicles,4111490,5426717
US-Canada Border,11/01/2015 12:00:00 AM,Trucks,973026,1028771
US-Mexico Border,11/01/2015 12:00:00 AM,Trucks,899764,762156
US-Canada Border,11/01/2015 12:00:00 AM,Truck Containers Full,766636,765860
US-Mexico Border,11/01/2015 12:00:00 AM,Truck Containers Full,631192,468849
US-Mexico Border,11/01/2015 12:00:00 AM,Bus Passengers,371010,514761
US-Canada Border,11/01/2015 12:00:00 AM,Rail Containers Full,261752,207053
US-Mexico Border,11/01/2015 12:00:00 AM,Truck Containers Empty,260212,279274
US-Canada Border,11/01/2015 12:00:00 AM,Bus Passengers,230788,573641
US-Canada Border,11/01/2015 12:00:00 AM,Truck Containers Empty,186854,163895
US-Canada Border,11/01/2015 12:00:00 AM,Rail Containers Empty,108268,83338
US-Mexico Border,11/01/2015 12:00:00 AM,Rail Containers Empty,81414,58364
US-Mexico Border,11/01/2015 12:00:00 AM,Rail Containers Full,76566,51496
US-Canada Border,11/01/2015 12:00:00 AM,Pedestrians,38974,96596
US-Mexico Border,11/01/2015 12:00:00 AM,Buses,34236,40858
US-Canada Border,11/01/2015 12:00:00 AM,Train Passengers,24510,41908
US-Canada Border,11/01/2015 12:00:00 AM,Buses,11210,23700
US-Canada Border,11/01/2015 12:00:00 AM,Trains,5006,5147
US-Mexico Border,11/01/2015 12:00:00 AM,Trains,1674,1389
US-Mexico Border,11/01/2015 12:00:00 AM,Train Passengers,562,2085
US-Mexico Border,10/01/2015 12:00:00 AM,Personal Vehicle Passengers,22941040,28858453
US-Mexico Border,10/01/2015 12:00:00 AM,Personal Vehicles,12708766,13135593
US-Canada Border,10/01/2015 12:00:00 AM,Personal Vehicle Passengers,8052498,11531132
US-Mexico Border,10/01/2015 12:00:00 AM,Pedestrians,7321794,7407170
US-Canada Border,10/01/2015 12:00:00 AM,Personal Vehicles,4652096,5429986
US-Canada Border,10/01/2015 12:00:00 AM,Trucks,1017322,1028820
US-Mexico Border,10/01/2015 12:00:00 AM,Trucks,977358,761248
US-Canada Border,10/01/2015 12:00:00 AM,Truck Containers Full,771842,765835
US-Mexico Border,10/01/2015 12:00:00 AM,Truck Containers Full,690914,467912
US-Mexico Border,10/01/2015 12:00:00 AM,Bus Passengers,377576,515340
US-Canada Border,10/01/2015 12:00:00 AM,Bus Passengers,352696,574574
US-Canada Border,10/01/2015 12:00:00 AM,Rail Containers Full,281968,206737
US-Mexico Border,10/01/2015 12:00:00 AM,Truck Containers Empty,279680,279273
US-Canada Border,10/01/2015 12:00:00 AM,Truck Containers Empty,192486,163774
US-Canada Border,10/01/2015 12:00:00 AM,Rail Containers Empty,120706,83181
US-Canada Border,10/01/2015 12:00:00 AM,Pedestrians,103296,96568
US-Mexico Border,10/01/2015 12:00:00 AM,Rail Containers Full,85918,51351
US-Mexico Border,10/01/2015 12:00:00 AM,Rail Containers Empty,80926,58269
US-Mexico Border,10/01/2015 12:00:00 AM,Buses,34274,40886
US-Canada Border,10/01/2015 12:00:00 AM,Train Passengers,32904,41946
US-Canada Border,10/01/2015 12:00:00 AM,Buses,15492,23735
US-Canada Border,10/01/2015 12:00:00 AM,Trains,5418,5146
US-Mexico Border,10/01/2015 12:00:00 AM,Trains,1716,1388
US-Mexico Border,10/01/2015 12:00:00 AM,Train Passengers,644,2091
US-Mexico Border,09/01/2015 12:00:00 AM,Personal Vehicle Passengers,21720074,28888701
US-Mexico Border,09/01/2015 12:00:00 AM,Personal Vehicles,12071968,13140100
US-Canada Border,09/01/2015 12:00:00 AM,Personal Vehicle Passengers,8727478,11543012
US-Mexico Border,09/01/2015 12:00:00 AM,Pedestrians,6278732,7411952
US-Canada Border,09/01/2015 12:00:00 AM,Personal Vehicles,4988664,5431856
US-Canada Border,09/01/2015 12:00:00 AM,Trucks,1000138,1028941
US-Mexico Border,09/01/2015 12:00:00 AM,Trucks,911328,760612
US-Canada Border,09/01/2015 12:00:00 AM,Truck Containers Full,821344,765600
US-Mexico Border,09/01/2015 12:00:00 AM,Truck Containers Full,642944,467170
US-Canada Border,09/01/2015 12:00:00 AM,Bus Passengers,437544,575154
US-Mexico Border,09/01/2015 12:00:00 AM,Bus Passengers,347806,516050
US-Mexico Border,09/01/2015 12:00:00 AM,Truck Containers Empty,269022,279316
US-Canada Border,09/01/2015 12:00:00 AM,Rail Containers Full,261984,206503
US-Canada Border,09/01/2015 12:00:00 AM,Truck Containers Empty,210188,163578
US-Canada Border,09/01/2015 12:00:00 AM,Rail Containers Empty,112166,83058
US-Canada Border,09/01/2015 12:00:00 AM,Pedestrians,91844,96588
US-Mexico Border,09/01/2015 12:00:00 AM,Rail Containers Full,80852,51226
US-Mexico Border,09/01/2015 12:00:00 AM,Rail Containers Empty,72026,58211
US-Canada Border,09/01/2015 12:00:00 AM,Train Passengers,64000,41852
US-Mexico Border,09/01/2015 12:00:00 AM,Buses,30870,40928
US-Canada Border,09/01/2015 12:00:00 AM,Buses,18850,23756
US-Canada Border,09/01/2015 12:00:00 AM,Trains,5108,5146
US-Mexico Border,09/01/2015 12:00:00 AM,Train Passengers,2116,2091
US-Mexico Border,09/01/2015 12:00:00 AM,Trains,1658,1387
US-Mexico Border,08/01/2015 12:00:00 AM,Personal Vehicle Passengers,23644506,28911016
US-Mexico Border,08/01/2015 12:00:00 AM,Personal Vehicles,12490452,13142864
US-Canada Border,08/01/2015 12:00:00 AM,Personal Vehicle Passengers,12485930,11538999
US-Mexico Border,08/01/2015 12:00:00 AM,Pedestrians,6741264,7414806
US-Canada Border,08/01/2015 12:00:00 AM,Personal Vehicles,6192300,5428620
US-Canada Border,08/01/2015 12:00:00 AM,Trucks,961380,1029229
US-Mexico Border,08/01/2015 12:00:00 AM,Trucks,866564,760161
US-Canada Border,08/01/2015 12:00:00 AM,Truck Containers Full,793448,765481
US-Mexico Border,08/01/2015 12:00:00 AM,Truck Containers Full,621942,466512
US-Mexico Border,08/01/2015 12:00:00 AM,Bus Passengers,505656,516094
US-Canada Border,08/01/2015 12:00:00 AM,Bus Passengers,498634,575480
US-Mexico Border,08/01/2015 12:00:00 AM,Truck Containers Empty,288938,279275
US-Canada Border,08/01/2015 12:00:00 AM,Rail Containers Full,271900,206225
US-Canada Border,08/01/2015 12:00:00 AM,Truck Containers Empty,219148,163341
US-Canada Border,08/01/2015 12:00:00 AM,Pedestrians,151286,96355
US-Canada Border,08/01/2015 12:00:00 AM,Rail Containers Empty,127690,82868
US-Canada Border,08/01/2015 12:00:00 AM,Train Passengers,89030,41651
US-Mexico Border,08/01/2015 12:00:00 AM,Rail Containers Full,85896,51078
US-Mexico Border,08/01/2015 12:00:00 AM,Rail Containers Empty,73840,58144
US-Mexico Border,08/01/2015 12:00:00 AM,Buses,36192,40948
US-Canada Border,08/01/2015 12:00:00 AM,Buses,21688,23764
US-Canada Border,08/01/2015 12:00:00 AM,Trains,5220,5146
US-Mexico Border,08/01/2015 12:00:00 AM,Train Passengers,2156,2091
US-Mexico Border,08/01/2015 12:00:00 AM,Trains,1732,1385
US-Mexico Border,07/01/2015 12:00:00 AM,Personal Vehicle Passengers,23873170,28932546
US-Canada Border,07/01/2015 12:00:00 AM,Personal Vehicle Passengers,12813080,11533554
US-Mexico Border,07/01/2015 12:00:00 AM,Personal Vehicles,12477954,13145705
US-Mexico Border,07/01/2015 12:00:00 AM,Pedestrians,7025416,7416470
US-Canada Border,07/01/2015 12:00:00 AM,Personal Vehicles,6323294,5424796
US-Canada Border,07/01/2015 12:00:00 AM,Trucks,954220,1029549
US-Mexico Border,07/01/2015 12:00:00 AM,Trucks,940486,759390
US-Canada Border,07/01/2015 12:00:00 AM,Truck Containers Full,761400,765499
US-Mexico Border,07/01/2015 12:00:00 AM,Truck Containers Full,659302,465688
US-Mexico Border,07/01/2015 12:00:00 AM,Bus Passengers,585826,515796
US-Canada Border,07/01/2015 12:00:00 AM,Bus Passengers,501420,575796
US-Mexico Border,07/01/2015 12:00:00 AM,Truck Containers Empty,286950,279242
US-Canada Border,07/01/2015 12:00:00 AM,Rail Containers Full,254148,206020
US-Canada Border,07/01/2015 12:00:00 AM,Truck Containers Empty,227252,163068
US-Canada Border,07/01/2015 12:00:00 AM,Pedestrians,147438,96137
US-Canada Border,07/01/2015 12:00:00 AM,Rail Containers Empty,122328,82699
US-Canada Border,07/01/2015 12:00:00 AM,Train Passengers,91640,41438
US-Mexico Border,07/01/2015 12:00:00 AM,Rail Containers Full,79492,50957
US-Mexico Border,07/01/2015 12:00:00 AM,Rail Containers Empty,75610,58070
US-Mexico Border,07/01/2015 12:00:00 AM,Buses,37514,40963
US-Canada Border,07/01/2015 12:00:00 AM,Buses,21964,23772
US-Canada Border,07/01/2015 12:00:00 AM,Trains,5088,5146
US-Mexico Border,07/01/2015 12:00:00 AM,Train Passengers,1900,2091
US-Mexico Border,07/01/2015 12:00:00 AM,Trains,1708,1384
US-Mexico Border,06/01/2015 12:00:00 AM,Personal Vehicle Passengers,22381410,28960662
US-Mexico Border,06/01/2015 12:00:00 AM,Personal Vehicles,12267526,13149475
US-Canada Border,06/01/2015 12:00:00 AM,Personal Vehicle Passengers,9874078,11540677
US-Mexico Border,06/01/2015 12:00:00 AM,Pedestrians,6414558,7420770
US-Canada Border,06/01/2015 12:00:00 AM,Personal Vehicles,5396498,5424918
US-Canada Border,06/01/2015 12:00:00 AM,Trucks,1016600,1029605
US-Mexico Border,06/01/2015 12:00:00 AM,Trucks,963078,758516
US-Canada Border,06/01/2015 12:00:00 AM,Truck Containers Full,852368,765126
US-Mexico Border,06/01/2015 12:00:00 AM,Truck Containers Full,677684,464778
US-Canada Border,06/01/2015 12:00:00 AM,Bus Passengers,436172,576396
US-Mexico Border,06/01/2015 12:00:00 AM,Bus Passengers,424968,516186
US-Mexico Border,06/01/2015 12:00:00 AM,Truck Containers Empty,276980,279252
US-Canada Border,06/01/2015 12:00:00 AM,Rail Containers Full,255514,205808
US-Canada Border,06/01/2015 12:00:00 AM,Truck Containers Empty,220988,162820
US-Canada Border,06/01/2015 12:00:00 AM,Rail Containers Empty,116724,82553
US-Canada Border,06/01/2015 12:00:00 AM,Pedestrians,104290,96102
US-Mexico Border,06/01/2015 12:00:00 AM,Rail Containers Full,84758,50812
US-Canada Border,06/01/2015 12:00:00 AM,Train Passengers,77350,41284
US-Mexico Border,06/01/2015 12:00:00 AM,Rail Containers Empty,73374,58004
US-Mexico Border,06/01/2015 12:00:00 AM,Buses,34138,40992
US-Canada Border,06/01/2015 12:00:00 AM,Buses,21546,23782
US-Canada Border,06/01/2015 12:00:00 AM,Trains,5074,5146
US-Mexico Border,06/01/2015 12:00:00 AM,Train Passengers,2008,2092
US-Mexico Border,06/01/2015 12:00:00 AM,Trains,1684,1383
US-Mexico Border,05/01/2015 12:00:00 AM,Personal Vehicle Passengers,23582656,28983843
US-Mexico Border,05/01/2015 12:00:00 AM,Personal Vehicles,12551482,13152052
US-Canada Border,05/01/2015 12:00:00 AM,Personal Vehicle Passengers,9224272,11550661
US-Mexico Border,05/01/2015 12:00:00 AM,Pedestrians,6908262,7422979
US-Canada Border,05/01/2015 12:00:00 AM,Personal Vehicles,5095672,5426337
US-Canada Border,05/01/2015 12:00:00 AM,Trucks,967394,1029873
US-Mexico Border,05/01/2015 12:00:00 AM,Trucks,936432,757749
US-Canada Border,05/01/2015 12:00:00 AM,Truck Containers Full,793192,765005
US-Mexico Border,05/01/2015 12:00:00 AM,Truck Containers Full,680366,463849
US-Canada Border,05/01/2015 12:00:00 AM,Bus Passengers,440020,576983
US-Mexico Border,05/01/2015 12:00:00 AM,Bus Passengers,404966,516665
US-Canada Border,05/01/2015 12:00:00 AM,Rail Containers Full,276142,205505
US-Mexico Border,05/01/2015 12:00:00 AM,Truck Containers Empty,251502,279372
US-Canada Border,05/01/2015 12:00:00 AM,Truck Containers Empty,231388,162524
US-Canada Border,05/01/2015 12:00:00 AM,Rail Containers Empty,133634,82333
US-Canada Border,05/01/2015 12:00:00 AM,Pedestrians,86416,96143
US-Mexico Border,05/01/2015 12:00:00 AM,Rail Containers Full,85104,50664
US-Mexico Border,05/01/2015 12:00:00 AM,Rail Containers Empty,79982,57909
US-Canada Border,05/01/2015 12:00:00 AM,Train Passengers,55688,41222
US-Mexico Border,05/01/2015 12:00:00 AM,Buses,33492,41024
US-Canada Border,05/01/2015 12:00:00 AM,Buses,20678,23795
US-Canada Border,05/01/2015 12:00:00 AM,Trains,5316,5145
US-Mexico Border,05/01/2015 12:00:00 AM,Train Passengers,1842,2093
US-Mexico Border,05/01/2015 12:00:00 AM,Trains,1678,1382
US-Mexico Border,04/01/2015 12:00:00 AM,Personal Vehicle Passengers,22517184,29011837
US-Mexico Border,04/01/2015 12:00:00 AM,Personal Vehicles,12207170,13156142
US-Canada Border,04/01/2015 12:00:00 AM,Personal Vehicle Passengers,7726884,11567214
US-Mexico Border,04/01/2015 12:00:00 AM,Pedestrians,6681168,7426190
US-Canada Border,04/01/2015 12:00:00 AM,Personal Vehicles,4362608,5430942
US-Canada Border,04/01/2015 12:00:00 AM,Trucks,972874,1030120
US-Mexico Border,04/01/2015 12:00:00 AM,Trucks,951560,756910
US-Canada Border,04/01/2015 12:00:00 AM,Truck Containers Full,790852,764893
US-Mexico Border,04/01/2015 12:00:00 AM,Truck Containers Full,687744,462879
US-Mexico Border,04/01/2015 12:00:00 AM,Bus Passengers,428300,517048
US-Canada Border,04/01/2015 12:00:00 AM,Bus Passengers,315406,578116
US-Canada Border,04/01/2015 12:00:00 AM,Rail Containers Full,281472,205176
US-Mexico Border,04/01/2015 12:00:00 AM,Truck Containers Empty,256412,279471
US-Canada Border,04/01/2015 12:00:00 AM,Truck Containers Empty,230170,162231
US-Canada Border,04/01/2015 12:00:00 AM,Rail Containers Empty,131382,82121
US-Mexico Border,04/01/2015 12:00:00 AM,Rail Containers Full,82400,50527
US-Mexico Border,04/01/2015 12:00:00 AM,Rail Containers Empty,76036,57831
US-Canada Border,04/01/2015 12:00:00 AM,Pedestrians,49758,96344
US-Mexico Border,04/01/2015 12:00:00 AM,Buses,33262,41058
US-Canada Border,04/01/2015 12:00:00 AM,Train Passengers,30262,41269
US-Canada Border,04/01/2015 12:00:00 AM,Buses,14320,23836
US-Canada Border,04/01/2015 12:00:00 AM,Trains,5486,5144
US-Mexico Border,04/01/2015 12:00:00 AM,Trains,1640,1380
US-Mexico Border,04/01/2015 12:00:00 AM,Train Passengers,1198,2097
US-Mexico Border,03/01/2015 12:00:00 AM,Personal Vehicle Passengers,23143226,29037353
US-Mexico Border,03/01/2015 12:00:00 AM,Personal Vehicles,12607060,13158530
US-Canada Border,03/01/2015 12:00:00 AM,Personal Vehicle Passengers,7686974,11584085
US-Mexico Border,03/01/2015 12:00:00 AM,Pedestrians,7191254,7427212
US-Canada Border,03/01/2015 12:00:00 AM,Personal Vehicles,4304450,5435840
US-Canada Border,03/01/2015 12:00:00 AM,Trucks,1022194,1030154
US-Mexico Border,03/01/2015 12:00:00 AM,Trucks,980614,755938
US-Canada Border,03/01/2015 12:00:00 AM,Truck Containers Full,842680,764555
US-Mexico Border,03/01/2015 12:00:00 AM,Truck Containers Full,711624,461798
US-Mexico Border,03/01/2015 12:00:00 AM,Bus Passengers,447234,517351
US-Canada Border,03/01/2015 12:00:00 AM,Rail Containers Full,293026,204794
US-Mexico Border,03/01/2015 12:00:00 AM,Truck Containers Empty,274584,279492
US-Canada Border,03/01/2015 12:00:00 AM,Truck Containers Empty,247554,161860
US-Canada Border,03/01/2015 12:00:00 AM,Bus Passengers,229120,579633
US-Canada Border,03/01/2015 12:00:00 AM,Rail Containers Empty,137914,81878
US-Mexico Border,03/01/2015 12:00:00 AM,Rail Containers Full,84958,50377
US-Mexico Border,03/01/2015 12:00:00 AM,Rail Containers Empty,77446,57746
US-Mexico Border,03/01/2015 12:00:00 AM,Buses,33632,41090
US-Canada Border,03/01/2015 12:00:00 AM,Pedestrians,32282,96623
US-Canada Border,03/01/2015 12:00:00 AM,Train Passengers,29478,41320
US-Canada Border,03/01/2015 12:00:00 AM,Buses,11964,23888
US-Canada Border,03/01/2015 12:00:00 AM,Trains,5288,5143
US-Mexico Border,03/01/2015 12:00:00 AM,Train Passengers,1848,2098
US-Mexico Border,03/01/2015 12:00:00 AM,Trains,1700,1379
US-Mexico Border,02/01/2015 12:00:00 AM,Personal Vehicle Passengers,20041516,29076636
US-Mexico Border,02/01/2015 12:00:00 AM,Personal Vehicles,11219916,13166995
US-Mexico Border,02/01/2015 12:00:00 AM,Pedestrians,6414604,7431634
US-Canada Border,02/01/2015 12:00:00 AM,Personal Vehicle Passengers,6188998,11607644
US-Canada Border,02/01/2015 12:00:00 AM,Personal Vehicles,3608546,5443819
US-Canada Border,02/01/2015 12:00:00 AM,Trucks,881384,1030804
US-Mexico Border,02/01/2015 12:00:00 AM,Trucks,868482,755446
US-Canada Border,02/01/2015 12:00:00 AM,Truck Containers Full,629486,765144
US-Mexico Border,02/01/2015 12:00:00 AM,Truck Containers Full,617468,461118
US-Mexico Border,02/01/2015 12:00:00 AM,Bus Passengers,316502,518228
US-Mexico Border,02/01/2015 12:00:00 AM,Truck Containers Empty,247450,279632
US-Canada Border,02/01/2015 12:00:00 AM,Rail Containers Full,245984,204614
US-Canada Border,02/01/2015 12:00:00 AM,Bus Passengers,212698,581235
US-Canada Border,02/01/2015 12:00:00 AM,Truck Containers Empty,202884,161681
US-Canada Border,02/01/2015 12:00:00 AM,Rail Containers Empty,114966,81734
US-Mexico Border,02/01/2015 12:00:00 AM,Rail Containers Full,73126,50278
US-Mexico Border,02/01/2015 12:00:00 AM,Rail Containers Empty,70222,57691
US-Mexico Border,02/01/2015 12:00:00 AM,Buses,27484,41150
US-Canada Border,02/01/2015 12:00:00 AM,Train Passengers,23832,41397
US-Canada Border,02/01/2015 12:00:00 AM,Pedestrians,22780,96945
US-Canada Border,02/01/2015 12:00:00 AM,Buses,12262,23938
US-Canada Border,02/01/2015 12:00:00 AM,Trains,4708,5145
US-Mexico Border,02/01/2015 12:00:00 AM,Train Passengers,1572,2100
US-Mexico Border,02/01/2015 12:00:00 AM,Trains,1556,1378
US-Mexico Border,01/01/2015 12:00:00 AM,Personal Vehicle Passengers,22643670,29104851
US-Mexico Border,01/01/2015 12:00:00 AM,Personal Vehicles,12095600,13171694
US-Canada Border,01/01/2015 12:00:00 AM,Personal Vehicle Passengers,6856848,11628481
US-Mexico Border,01/01/2015 12:00:00 AM,Pedestrians,6665958,7434992
US-Canada Border,01/01/2015 12:00:00 AM,Personal Vehicles,3950984,5450367
US-Canada Border,01/01/2015 12:00:00 AM,Trucks,929366,1031249
US-Mexico Border,01/01/2015 12:00:00 AM,Trucks,895410,754832
US-Canada Border,01/01/2015 12:00:00 AM,Truck Containers Full,695328,765451
US-Mexico Border,01/01/2015 12:00:00 AM,Truck Containers Full,628150,460386
US-Mexico Border,01/01/2015 12:00:00 AM,Bus Passengers,452666,518516
US-Canada Border,01/01/2015 12:00:00 AM,Rail Containers Full,279300,204286
US-Mexico Border,01/01/2015 12:00:00 AM,Truck Containers Empty,259984,279718
US-Canada Border,01/01/2015 12:00:00 AM,Truck Containers Empty,234268,161363
US-Canada Border,01/01/2015 12:00:00 AM,Bus Passengers,204182,582889
US-Canada Border,01/01/2015 12:00:00 AM,Rail Containers Empty,128292,81529
US-Mexico Border,01/01/2015 12:00:00 AM,Rail Containers Empty,73132,57623
US-Mexico Border,01/01/2015 12:00:00 AM,Rail Containers Full,67074,50204
US-Mexico Border,01/01/2015 12:00:00 AM,Buses,32248,41189
US-Canada Border,01/01/2015 12:00:00 AM,Train Passengers,25220,41468
US-Canada Border,01/01/2015 12:00:00 AM,Pedestrians,23354,97268
US-Canada Border,01/01/2015 12:00:00 AM,Buses,11098,23995
US-Canada Border,01/01/2015 12:00:00 AM,Trains,5374,5144
US-Mexico Border,01/01/2015 12:00:00 AM,Trains,1548,1378
US-Mexico Border,01/01/2015 12:00:00 AM,Train Passengers,1534,2103
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,24415108,29125510
